variant,exit_reason,count,share,family,stop_mode,cap_days,take_profit_pct,trail_giveback_pct,partial_take_profit_pct
FULL_TRAIL_FIXED10_GB40_CAP30D,RUNNER_STOP,2637,0.6752880921895006,FULL_TRAIL,FIXED10,30,,0.4,
FULL_TRAIL_FIXED10_GB40_CAP365D,INITIAL_STOP,1268,0.32471190781049936,FULL_TRAIL,FIXED10,365,,0.4,
FULL_TRAIL_FIXED10_GB40_CAP365D,RUNNER_STOP,2637,0.6752880921895006,FULL_TRAIL,FIXED10,365,,0.4,
FULL_TRAIL_FIXED10_GB40_CAP7D,INITIAL_STOP,1268,0.32471190781049936,FULL_TRAIL,FIXED10,7,,0.4,
FULL_TRAIL_FIXED10_GB40_CAP7D,RUNNER_STOP,2637,0.6752880921895006,FULL_TRAIL,FIXED10,7,,0.4,
FULL_TRAIL_FIXED10_GB40_CAP90D,INITIAL_STOP,1268,0.32471190781049936,FULL_TRAIL,FIXED10,90,,0.4,
FULL_TRAIL_FIXED10_GB40_CAP90D,RUNNER_STOP,2637,0.6752880921895006,FULL_TRAIL,FIXED10,90,,0.4,
FULL_TRAIL_FIXED10_GB50_CAP180D,INITIAL_STOP,1268,0.32529502308876346,FULL_TRAIL,FIXED10,180,,0.5,
FULL_TRAIL_FIXED10_GB50_CAP180D,RUNNER_STOP,2630,0.6747049769112365,FULL_TRAIL,FIXED10,180,,0.5,
FULL_TRAIL_FIXED10_GB50_CAP30D,INITIAL_STOP,1268,0.32529502308876346,FULL_TRAIL,FIXED10,30,,0.5,
FULL_TRAIL_FIXED10_GB50_CAP30D,RUNNER_STOP,2630,0.6747049769112365,FULL_TRAIL,FIXED10,30,,0.5,
FULL_TRAIL_FIXED10_GB50_CAP365D,INITIAL_STOP,1268,0.32529502308876346,FULL_TRAIL,FIXED10,365,,0.5,
FULL_TRAIL_FIXED10_GB50_CAP365D,RUNNER_STOP,2630,0.6747049769112365,FULL_TRAIL,FIXED10,365,,0.5,
FULL_TRAIL_FIXED10_GB50_CAP7D,INITIAL_STOP,1268,0.32529502308876346,FULL_TRAIL,FIXED10,7,,0.5,
FULL_TRAIL_FIXED10_GB50_CAP7D,RUNNER_STOP,2630,0.6747049769112365,FULL_TRAIL,FIXED10,7,,0.5,
FULL_TRAIL_FIXED10_GB50_CAP90D,INITIAL_STOP,1268,0.32529502308876346,FULL_TRAIL,FIXED10,90,,0.5,
FULL_TRAIL_FIXED10_GB50_CAP90D,RUNNER_STOP,2630,0.6747049769112365,FULL_TRAIL,FIXED10,90,,0.5,
FULL_TRAIL_FIXED10_GB60_CAP180D,INITIAL_STOP,1268,0.3262995367987648,FULL_TRAIL,FIXED10,180,,0.6,
FULL_TRAIL_FIXED10_GB60_CAP180D,RUNNER_STOP,2614,0.6726711271230057,FULL_TRAIL,FIXED10,180,,0.6,
FULL_TRAIL_FIXED10_GB60_CAP180D,TAKE_PROFIT_1000,4,0.001029336078229542,FULL_TRAIL,FIXED10,180,,0.6,
FULL_TRAIL_FIXED10_GB60_CAP30D,INITIAL_STOP,1268,0.3262995367987648,FULL_TRAIL,FIXED10,30,,0.6,
FULL_TRAIL_FIXED10_GB60_CAP30D,RUNNER_STOP,2614,0.6726711271230057,FULL_TRAIL,FIXED10,30,,0.6,
FULL_TRAIL_FIXED10_GB60_CAP30D,TAKE_PROFIT_1000,4,0.001029336078229542,FULL_TRAIL,FIXED10,30,,0.6,
FULL_TRAIL_FIXED10_GB60_CAP365D,INITIAL_STOP,1268,0.3262995367987648,FULL_TRAIL,FIXED10,365,,0.6,
FULL_TRAIL_FIXED10_GB60_CAP365D,RUNNER_STOP,2614,0.6726711271230057,FULL_TRAIL,FIXED10,365,,0.6,
FULL_TRAIL_FIXED10_GB60_CAP365D,TAKE_PROFIT_1000,4,0.001029336078229542,FULL_TRAIL,FIXED10,365,,0.6,
