variant,trades,combined_pnl_usdt,mean_pnl_usdt,median_pnl_usdt,profit_factor,win_rate,median_duration_hours,p10_pnl_usdt,p90_pnl_usdt,family,stop_mode,cap_days,take_profit_pct,trail_giveback_pct,partial_take_profit_pct,positive_years,years_tested,worst_year_pnl_usdt,best_year_pnl_usdt,leader_metric,leader_rank
TIME_FIXED3_CAP30D,3815.0,-37144.19241749997,-9.736354499999994,-9.73635449999997,0.0,0.0,41.0,-9.736354500000028,-9.73635449999997,TIME_ONLY,FIXED3,30,,,,0,8,-7516.465673999994,-1567.553074499999,profit_factor,8
TIME_FIXED5_CAP1D,3742.0,-58851.771765,-15.7273575,-15.727357499999984,0.0,0.0,99.5,-15.727357500000041,-15.727357499999984,TIME_ONLY,FIXED5,1,,,,0,8,-11921.336984999998,-2532.1045575000007,profit_factor,9
TIME_FIXED5_CAP2D,3742.0,-58851.771765,-15.7273575,-15.727357499999984,0.0,0.0,99.5,-15.727357500000041,-15.727357499999984,TIME_ONLY,FIXED5,2,,,,0,8,-11921.336984999998,-2532.1045575000007,profit_factor,10
TIME_FIXED3_CAP1D,3815.0,-37144.19241749997,-9.736354499999994,-9.73635449999997,0.0,0.0,41.0,-9.736354500000028,-9.73635449999997,TIME_ONLY,FIXED3,1,,,,0,8,-7516.465673999994,-1567.553074499999,mean_pnl,1
TIME_FIXED3_CAP2D,3815.0,-37144.19241749997,-9.736354499999994,-9.73635449999997,0.0,0.0,41.0,-9.736354500000028,-9.73635449999997,TIME_ONLY,FIXED3,2,,,,0,8,-7516.465673999994,-1567.553074499999,mean_pnl,2
TIME_FIXED3_CAP3D,3815.0,-37144.19241749997,-9.736354499999994,-9.73635449999997,0.0,0.0,41.0,-9.736354500000028,-9.73635449999997,TIME_ONLY,FIXED3,3,,,,0,8,-7516.465673999994,-1567.553074499999,mean_pnl,3
TIME_FIXED3_CAP4D,3815.0,-37144.19241749997,-9.736354499999994,-9.73635449999997,0.0,0.0,41.0,-9.736354500000028,-9.73635449999997,TIME_ONLY,FIXED3,4,,,,0,8,-7516.465673999994,-1567.553074499999,mean_pnl,4
TIME_FIXED3_CAP5D,3815.0,-37144.19241749997,-9.736354499999994,-9.73635449999997,0.0,0.0,41.0,-9.736354500000028,-9.73635449999997,TIME_ONLY,FIXED3,5,,,,0,8,-7516.465673999994,-1567.553074499999,mean_pnl,5
TIME_FIXED3_CAP6D,3815.0,-37144.19241749997,-9.736354499999994,-9.73635449999997,0.0,0.0,41.0,-9.736354500000028,-9.73635449999997,TIME_ONLY,FIXED3,6,,,,0,8,-7516.465673999994,-1567.553074499999,mean_pnl,6
TIME_FIXED3_CAP7D,3815.0,-37144.19241749997,-9.736354499999994,-9.73635449999997,0.0,0.0,41.0,-9.736354500000028,-9.73635449999997,TIME_ONLY,FIXED3,7,,,,0,8,-7516.465673999994,-1567.553074499999,mean_pnl,7
TIME_FIXED3_CAP30D,3815.0,-37144.19241749997,-9.736354499999994,-9.73635449999997,0.0,0.0,41.0,-9.736354500000028,-9.73635449999997,TIME_ONLY,FIXED3,30,,,,0,8,-7516.465673999994,-1567.553074499999,mean_pnl,8
TIME_FIXED5_CAP1D,3742.0,-58851.771765,-15.7273575,-15.727357499999984,0.0,0.0,99.5,-15.727357500000041,-15.727357499999984,TIME_ONLY,FIXED5,1,,,,0,8,-11921.336984999998,-2532.1045575000007,mean_pnl,9
TIME_FIXED5_CAP2D,3742.0,-58851.771765,-15.7273575,-15.727357499999984,0.0,0.0,99.5,-15.727357500000041,-15.727357499999984,TIME_ONLY,FIXED5,2,,,,0,8,-11921.336984999998,-2532.1045575000007,mean_pnl,10
